Timestamp,Age,Industry,Job_title,Salary,Additional_compensation,Currency,Other_currency,Country,State,City,Overall_work_experience,Field_years_experience,Education,Gender,Race
2021-04-27T17:02:09.743Z,25-34,Education (Higher Education),Research and Instruction Librarian,55000,0,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:02:21.562Z,25-34,Computing or Tech,Change & Internal Communications Manager,54600,4000,GBP,,United Kingdom,,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
2021-04-27T17:02:38.125Z,25-34,"Accounting, Banking & Finance",Marketing Specialist,34000,4000,USD,,United States,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:02:40.643Z,25-34,Nonprofits,Program Manager,62000,3000,USD,,United States,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:02:41.793Z,25-34,"Accounting, Banking & Finance",Accounting Manager,60000,7000,USD,,United States,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:02:45.571Z,25-34,Education (Higher Education),Scholarly Publishing Librarian,62000,7000,USD,,United States,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
2021-04-27T17:02:50.507Z,25-34,Publishing,Publishing Assistant,33000,2000,USD,,United States,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:02:59.927Z,25-34,Education (Primary/Secondary),Librarian,50000,2000,USD,,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
2021-04-27T17:03:01.045Z,45-54,Computing or Tech,Systems Analyst,112000,10000,USD,,United States,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:03:01.699Z,35-44,"Accounting, Banking & Finance",Senior Accountant,45000,0,USD,,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T17:03:02.772Z,25-34,Nonprofits,Office Manager,47500,0,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:03:07.255Z,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,0,USD,,United States,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T17:03:09.236Z,35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,0,USD,,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
2021-04-27T17:03:09.718Z,25-34,Law,Legal Aid Staff Attorney,52000,0,USD,,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,,Woman,White
2021-04-27T17:03:10.569Z,18-24,Health care,Patient care coordinator,32000,0,CAD,,Canada,,Remote,1 year or less,1 year or less,College degree,Woman,White
2021-04-27T17:03:11.010Z,35-44,Utilities & Telecommunications,Quality And Compliance Specialist,24000,500,GBP,,United Kingdom,,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
2021-04-27T17:03:13.404Z,35-44,Business or Consulting,Executive Assistant,85000,5000,USD,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
2021-04-27T17:03:18.687Z,45-54,Art & Design,graphic designer,59000,5000,USD,,United States,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:03:20.705Z,35-44,Business or Consulting,Senior Manager,98000,1000,USD,,United States,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T17:03:23.066Z,35-44,Education (Higher Education),Assistant Director,54000,1000,USD,,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:03:23.839Z,25-34,Health care,Data Programmer Analyst,74000,0,USD,,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:03:24.269Z,35-44,Nonprofits,Program Coordinator,50000,0,USD,,United States,,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
2021-04-27T17:03:27.055Z,35-44,Nonprofits,Event Planner,63000,0,CAD,,Canada,,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:03:28.937Z,35-44,Government and Public Administration,Researcher,96000,1000,USD,,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
2021-04-27T17:03:31.493Z,25-34,Library/Archives,Teen Librarian,44500,0,USD,,United States,Florida,Bradenton,5-7 years,2 - 4 years,,Woman,White
2021-04-27T17:03:34.345Z,35-44,Education (Higher Education),Communications Specialist,60000,0,USD,,United States,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
2021-04-27T17:03:37.934Z,25-34,Nonprofits,Program Director,62000,0,USD,,United States,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Man,White
2021-04-27T17:03:40.233Z,35-44,Law,Bookkeeper/Billing Manager,48000,4000,USD,,United States,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
2021-04-27T17:03:41.456Z,35-44,Government and Public Administration,Economist,140000,4000,USD,,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:03:42.648Z,25-34,Engineering,Research Engineer,80000,4000,USD,,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:03:43.836Z,25-34,Nonprofits,Volunteer and Giving Coordinator,39000,4000,USD,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:03:43.958Z,35-44,Media & Digital,Editor,125000,0,USD,,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:03:45.489Z,25-34,"Accounting, Banking & Finance",Financial Advisor,230000,0,USD,,United States,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:03:45.949Z,35-44,"Accounting, Banking & Finance",Accounting Manager,110000,15000,USD,,United States,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:03:53.695Z,25-34,Nonprofits,Administrative Assistant,50000,15000,USD,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:03:54.689Z,35-44,Education (Higher Education),Senior IRB Analyst,68000,0,USD,,United States,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T17:03:55.799Z,18-24,Media & Digital,Reporter,41000,100,USD,,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:03:56.799Z,25-34,"Accounting, Banking & Finance",Senior Administrator,76000,10000,USD,,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:03:57.495Z,35-44,Government and Public Administration,Staff Services Manager II,78000,0,USD,,United States,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:03:58.994Z,25-34,"Accounting, Banking & Finance",Receptionist,37000,0,USD,,United States,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:04:01.323Z,45-54,Engineering,Lead Engineer,100000,50000,USD,,United States,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:04:01.337Z,35-44,"Marketing, Advertising & PR",Senior Copywriter,35000,6000,GBP,,United Kingdom,,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:04:01.782Z,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,0,USD,,United States,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
2021-04-27T17:04:03.655Z,25-34,Computing or Tech,Principal Software Engineer,187500,5000,USD,,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:04:03.949Z,25-34,Computing or Tech,Intelligence Analyst,110000,20000,USD,,United States,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
2021-04-27T17:04:04.038Z,25-34,Nonprofits,Project Manager,66625,1500,USD,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T17:04:06.958Z,35-44,Computing or Tech,Mobile developer,144600,2500,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
2021-04-27T17:04:09.076Z,35-44,Computing or Tech,Product Design Director,200850,40000,USD,,United States,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:04:09.581Z,25-34,Engineering,Engineering specialist,120000,1500,CAD,,Canada,,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:04:10.041Z,25-34,Retail,"Manager, Total Rewards",97500,10000,CAD,,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:04:10.571Z,35-44,Education (Higher Education),Research and Development Engineer 3,96000,10000,USD,,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
2021-04-27T17:04:11.392Z,25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,1000,USD,,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
2021-04-27T17:04:15.037Z,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,10000,USD,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:04:19.348Z,35-44,Computing or Tech,Managed Services Sales Coordinator,72000,3000,USD,,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:04:21.871Z,35-44,Media & Digital,Editor,52000,0,CAD,,Canada,,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
2021-04-27T17:04:22.867Z,35-44,Engineering,Water Resources Engineer,106000,0,USD,,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:04:24.446Z,25-34,Government and Public Administration,Program Officer,115000,0,USD,,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
2021-04-27T17:04:26.494Z,25-34,Business or Consulting,Account Supervisor,100500,3000,USD,,United States,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
2021-04-27T17:04:27.447Z,25-34,Law,Legal Secretary,33200,0,USD,,United States,New Jersey,London,8 - 10 years,2 - 4 years,Some college,Woman,White
2021-04-27T17:04:27.445Z,35-44,Government and Public Administration,Policy Lead,52000,0,GBP,,United Kingdom,,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:04:27.747Z,25-34,Education (Higher Education),Coordinator,52000,0,USD,,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:04:29.163Z,25-34,Government and Public Administration,Senior Advisor,79000,0,CAD,,Canada,,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:04:29.380Z,65 or over,Property or Construction,Safety Director,104000,25000,USD,,United States,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
2021-04-27T17:04:31.395Z,25-34,Education (Primary/Secondary),Secondary School Educator,75000,25000,CAD,,Canada,,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
2021-04-27T17:04:31.848Z,18-24,Biotech,Downstream Process Development Research Associate I,52000,25000,USD,,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:04:32.582Z,25-34,Education (Higher Education),Research Programmer,70000,0,USD,,United States,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
2021-04-27T17:04:34.180Z,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,8400,USD,,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:04:34.507Z,35-44,Health care,AR Manager,53000,0,USD,,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:04:36.062Z,25-34,Computing or Tech,Technical specialist,34000,2000,USD,,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:04:37.836Z,25-34,Nonprofits,Programming Coordinator,38000,2000,USD,,United States,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T17:04:38.819Z,25-34,Government and Public Administration,City Research Scientist II,87000,0,USD,,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
2021-04-27T17:04:39.090Z,35-44,Aerospace,Project engineer,122000,3600,USD,,United States,,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:04:39.703Z,25-34,Insurance,Pricing Analyst,45000,2000,GBP,,United Kingdom,,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T17:04:40.568Z,25-34,Engineering,Marketing Coordinator,45000,2000,USD,,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White
2021-04-27T17:04:41.213Z,35-44,Computing or Tech,Tech Writer,88000,2000,USD,,United States,Maryland,,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
2021-04-27T17:04:43.013Z,35-44,Nonprofits,Supervisory Archivist,71000,0,USD,,United States,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:04:43.291Z,45-54,Education (Higher Education),Program Manager,71000,0,USD,,United States,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
2021-04-27T17:04:45.313Z,35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000,0,USD,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:04:48.423Z,35-44,Education (Higher Education),Manager of Market Research and Data,80000,0,USD,,United States,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:04:48.529Z,35-44,Computing or Tech,Senior Business Analyst,125000,0,USD,,United States,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:04:50.008Z,35-44,Education (Higher Education),Special Collections Cataloger,65000,0,USD,,United States,Pennsylvania,,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:04:51.769Z,45-54,Education (Primary/Secondary),Teacher,36000,0,GBP,,United Kingdom,,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:04:54.540Z,25-34,Nonprofits,Graphic Designer / Webmaster,55000,0,USD,,United States,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:04:54.564Z,25-34,Art & Design,Senior UX Designer,90000,1000,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:04:58.210Z,35-44,Engineering,Senior Engineer,105000,13000,USD,,United States,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:05:01.129Z,35-44,Nonprofits,Office Administrator,60000,0,CAD,,Canada,,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
2021-04-27T17:05:01.223Z,35-44,Education (Higher Education),Digital Archivist,65000,0,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:05:01.731Z,25-34,Business or Consulting,Associate Program Manager,85000,8500,USD,,United States,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T17:05:01.903Z,25-34,Sales,CSR,39520,8500,USD,,United States,Oregon,Portland,8 - 10 years,2 - 4 years,Some college,Woman,White
2021-04-27T17:05:04.009Z,45-54,Computing or Tech,Director of Engineering,115000,8500,CAD,,Canada,,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
2021-04-27T17:05:05.115Z,25-34,Energy,Fuel Efficiency Program Analyst,76000,0,USD,,United States,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:05:05.324Z,55-64,Business or Consulting,Senior Vice President of Marketing,180000,60000,USD,,United States,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:05:06.971Z,25-34,"Accounting, Banking & Finance",Accounting Manager,90000,0,USD,,United States,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:05:07.347Z,25-34,Government and Public Administration,Technical Assistant,19300,0,GBP,,United Kingdom,,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
2021-04-27T17:05:07.399Z,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000,5000,USD,,United States,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:05:07.511Z,45-54,Computing or Tech,senior web application developer,98166,0,USD,,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
2021-04-27T17:05:07.633Z,25-34,Education (Primary/Secondary),Director of Development,63500,0,USD,,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
2021-04-27T17:05:07.911Z,55-64,Environmental Science,Quality Assurance Lead,58,0,USD,,United States,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:05:08.087Z,25-34,Nonprofits,Program & Administrative Assistant,47700,2000,USD,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:05:08.256Z,55-64,Computing or Tech,Chief Engineer,87000,8000,USD,,United States,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
2021-04-27T17:05:11.964Z,35-44,Media & Digital,Production Co-ordinator,48000,8000,CAD,,Canada,,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:05:13.914Z,25-34,Education (Higher Education),Administrative Assistant,39635,305,USD,,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
2021-04-27T17:05:14.002Z,25-34,Government and Public Administration,Administrative Officer,53000,305,USD,,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White
2021-04-27T17:05:16.849Z,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255,0,USD,,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
2021-04-27T17:05:17.160Z,35-44,Property or Construction,Senior Project Manager,196000,10000,USD,,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T17:05:17.173Z,45-54,Health care,Customer Service Representative,34361,0,USD,,United States,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T17:05:17.193Z,45-54,Engineering,Senior Device Engineer,150000,20000,USD,,United States,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:05:17.393Z,25-34,Hospitality & Events,Graphic Designer,75000,0,USD,,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:05:18.316Z,35-44,Education (Higher Education),Graduate Student,20000,0,USD,,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:05:20.785Z,25-34,Computing or Tech,Senior Financial Analyst,107220,16083,USD,,United States,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
2021-04-27T17:05:21.569Z,35-44,Government and Public Administration,Case Manager,78000,16083,CAD,,Canada,,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
2021-04-27T17:05:22.635Z,45-54,Education (Higher Education),Professor,95000,10000,USD,,United States,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
2021-04-27T17:05:23.017Z,45-54,Sales,Office Manager,42000,10000,USD,,United States,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:05:24.271Z,25-34,"Accounting, Banking & Finance",Finance Manager,100000,5000,USD,,United States,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:05:24.699Z,25-34,Computing or Tech,Software Engineer,50000,5000,GBP,,United Kingdom,,Nottingham,5-7 years,2 - 4 years,High School,Man,White
2021-04-27T17:05:25.267Z,35-44,Education (Higher Education),Medical Education Director,119000,2500,USD,,United States,California,,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:05:26.370Z,45-54,"Accounting, Banking & Finance",Finance acountant,66000,5000,GBP,,United Kingdom,,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T17:05:27.112Z,35-44,Transport or Logistics,Program Manager,60000,3000,EUR,,Netherlands,,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T17:05:27.252Z,25-34,Education (Higher Education),Associate Director,75000,3000,USD,,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:05:28.112Z,35-44,Education (Higher Education),Assistant Professor,145000,15000,USD,,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
2021-04-27T17:05:32.532Z,25-34,"Accounting, Banking & Finance",investment advisor,95000,10000,CAD,,Canada,,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:05:33.020Z,25-34,"Marketing, Advertising & PR",Content Writer,48000,2000,USD,,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:05:33.107Z,45-54,"Accounting, Banking & Finance",Assistant Director,75000,10000,USD,,United States,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:05:33.855Z,35-44,Media & Digital,Digital Marketing Specialist,42000,0,USD,,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:05:35.842Z,35-44,Nonprofits,Archivist,54000,100,USD,,United States,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:05:36.810Z,35-44,Education (Higher Education),Assistant Professor,92000,100,CAD,,Canada,,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
2021-04-27T17:05:42.078Z,45-54,Government and Public Administration,Head of Public Sector Data Sharing,50870,0,GBP,,United Kingdom,,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:05:42.869Z,55-64,Medical Devices,QC Supervisor,60000,500,USD,,United States,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
2021-04-27T17:05:43.513Z,55-64,Nonprofits,Content Development Manager,101500,0,USD,,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:05:44.082Z,25-34,Academia,Clinical Research Assistant II,36883,150,USD,,United States,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:05:44.830Z,25-34,Media & Digital,news editor,85000,0,USD,,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:05:45.166Z,25-34,Education (Higher Education),Senior Administrative Assistant,62000,0,USD,,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:05:45.864Z,35-44,Computing or Tech,Product Manager,130000,0,USD,,United States,,Philadelphia,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T17:05:45.902Z,55-64,Education (Higher Education),career services professional,55000,0,USD,,United States,,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T17:05:47.367Z,25-34,Government and Public Administration,Project Coordinator,59015,0,USD,,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:05:47.616Z,25-34,Business or Consulting,"Associate Manager, Education",71000,3000,USD,,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:05:48.796Z,45-54,Social Work,Director,53000,3000,USD,,United States,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T17:05:48.891Z,25-34,Library/Archives,Senior Librarian,63000,0,USD,,United States,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:05:49.054Z,35-44,Engineering,Project Estimator,95000,5000,USD,,United States,Michigan,Detroit Metro Area,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:05:50.645Z,35-44,Surveying,Accounts manager,85000,0,AUD/NZD,,Australia,,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,White
2021-04-27T17:05:50.809Z,35-44,Nonprofits,Customer Advocate,35000,3000,USD,,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
2021-04-27T17:05:51.437Z,18-24,Hospitality & Events,Customer Service Specialist,33280,500,USD,,United States,Florida,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary,White
2021-04-27T17:05:52.101Z,35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000,2500,USD,,United States,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
2021-04-27T17:05:52.289Z,35-44,Education (Higher Education),Associate Director,85000,2500,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:05:52.448Z,35-44,Education (Higher Education),Editor,62000,0,USD,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:05:52.758Z,25-34,Law,Staff Attorney,74000,0,USD,,United States,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
2021-04-27T17:05:52.840Z,25-34,Nonprofits,Program Associate,63000,1000,USD,,United States,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:05:53.268Z,25-34,Recruitment or HR,Senior People Advisor,45000,10000,GBP,,United Kingdom,,London,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:05:54.389Z,25-34,Education (Higher Education),English as a Second Language Teacher,18000,0,EUR,,Spain,,N/A,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:05:55.297Z,35-44,Nonprofits,Online Sales Support Manager,86000,6000,USD,,United States,,New York,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T17:05:57.702Z,18-24,PhD,PhD Candidate,19000,0,GBP,,United Kingdom,,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,White
2021-04-27T17:05:57.711Z,35-44,Education (Higher Education),Research Technologist,42000,0,USD,,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
2021-04-27T17:06:00.227Z,55-64,Biopharma,RIM Manager,114000,30000,USD,,United States,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White
2021-04-27T17:06:00.489Z,45-54,Insurance,Senior Client Service Representative,73000,0,USD,,United States,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman,White
2021-04-27T17:06:00.948Z,35-44,Nonprofits,Funding Manager,54000,0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T17:06:01.694Z,45-54,Health care,Clinical analyst,100000,0,USD,,United States,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T17:06:02.343Z,25-34,Publishing,Editor,27000,0,GBP,,United Kingdom,,Oxford,11 - 20 years,5-7 years,College degree,Woman,White
2021-04-27T17:06:02.402Z,18-24,Government and Public Administration,Policy Analyst,60129,3000,USD,,United States,District of Columbia,"Washington, DC",2 - 4 years,1 year or less,Master's degree,Woman,White
