Timestamp,Age,Industry,Job_title,Salary,Additional_compensation,Currency,Other_currency,Country,State,City,Overall_work_experience,Field_years_experience,Education,Gender,Race
2021-04-27T18:12:36.841Z,35-44,Education (Higher Education),CRM Administrator,78650,0,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T18:12:37.929Z,25-34,"Marketing, Advertising & PR",Crisis Communications Manager,62700,0,USD,,United States,Maryland,Gaitherburg,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:12:38.875Z,45-54,"Accounting, Banking & Finance",Data Analyst,121800,0,USD,,United States,Texas,Irving,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:12:39.280Z,65 or over,Health care,VP Information Technology,125000,35000,USD,,United States,Texas,San Antonio,41 years or more,31 - 40 years,Some college,Woman,White
2021-04-27T18:12:40.088Z,45-54,Computing or Tech,Senior Manager,175000,5000,USD,,United States,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T18:12:44.057Z,45-54,Computing or Tech,Project Manager,74000,5000,CAD,,Canada,,Toronto,21 - 30 years,11 - 20 years,Some college,Woman,White
2021-04-27T18:12:47.206Z,25-34,Art & Design,Graphic designer,104000,5000,USD,,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T18:12:48.303Z,45-54,Property or Construction,Senior Development Manager,85000,25000,GBP,,United Kingdom,,London,21 - 30 years,11 - 20 years,High School,Woman,White
2021-04-27T18:12:49.643Z,25-34,Computing or Tech,Senior SDE,165000,35000,USD,,United States,Washington,Bothell,8 - 10 years,8 - 10 years,College degree,Man,White
2021-04-27T18:12:52.679Z,35-44,Nonprofits,Associate Director,65000,0,USD,,United States,Ohio,Kirtland,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T18:12:52.811Z,35-44,Computing or Tech,LMS Administrator,59000,0,USD,,United States,Massachusetts,Northampton,8 - 10 years,5-7 years,College degree,Man,White
2021-04-27T18:12:54.770Z,25-34,Library/Archives,systems librarian,80000,0,CAD,,Canada,,Vancouver,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
