state,has_nba_team,has_major_zoo,is_coastal,has_waffle_house,personality_profile,openness_rank,avg_temp_f,annual_sunny_days,ufo_sightings_per_100k,dog_ownership_pct,national_parks_count,political_lean,craft_breweries_per_100k,total_pop,median_income,median_age,bachelors_deg_pct,poverty_rate_pct,work_from_home_pct,foreign_born_pct,mean_commute_minutes,basketball,football,baseball,soccer,hockey,golf,tennis,pickleball,swimming,skiing,snowboarding,surfing,bowling,boxing,mma,nba,nfl,mlb,nhl,super bowl,college football,march madness,wnba,mls,pga tour,formula 1,nascar,ufc,track and field,volleyball,crossfit,powerlifting,gymnastics,marathon,triathlon,lacrosse,rugby,cricket,archery,rowing,skateboarding,snowshoeing,table tennis,badminton,water polo,pizza,tacos,sushi,burgers,barbecue,ramen,pasta,steak,seafood,fried chicken,pho,curry,dumplings,paella,empanadas,gyros,falafel,bagels,pancakes,waffles,ice cream,donuts,churros,cheesecake,boba,brisket,pulled pork,bbq ribs,clam chowder,gumbo,lobster roll,deep dish pizza,hot wings,philly cheesesteak,biscuits and gravy,crab cakes,jambalaya,beignets,key lime pie,poutine,tamales,enchiladas,quesadillas,birria tacos,poke bowl,pad thai,tikka masala,shawarma,nachos,buffalo wings,hot dogs,corn dogs,pot roast,meatloaf,shepherds pie,chicken pot pie,mac and cheese,kolaches,scrapple,fry bread,sourdough bread,cornbread,funnel cake,apple pie,pecan pie,peach cobbler,pumpkin pie,sweet potato pie,cinnamon rolls,scones,croissants,cannoli,tiramisu,baklava,gelato,frozen yogurt,milkshakes,smoothies,lemonade,sweet tea,kombucha,matcha latte,espresso,iced coffee,craft beer,hard cider,bourbon,margaritas,sangria,bloody mary,mimosa,mojito,hot sauce,ranch dressing,maple syrup,honey,peanut butter,mcdonalds,taco bell,chick fil a,wendys,burger king,popeyes,dominos pizza,pizza hut,subway,chipotle,dunkin donuts,starbucks,panera bread,panda express,five guys,in n out,whataburger,sonic drive in,culvers,raising canes,zaxbys,bojangles,jack in the box,del taco,sheetz,wawa,buc ees,dutch bros,churro waffle,chicken and waffles,eggs benedict,avocado toast,acai bowl,arancini,samosas,bao buns,bibimbap,bulgogi,elote,chilaquiles,tres leches,flan,churro ice cream,cheerios,frosted flakes,cinnamon toast crunch,honey nut cheerios,lucky charms,froot loops,frosted mini wheats,capn crunch,rice krispies,cocoa puffs,trix,raisin bran,fruity pebbles,special k,apple jacks,honey bunches of oats,corn flakes,wheat thies,life cereal,golden grahams,kix,cookie crisp,chex,corn pops,grape nuts,quaker oats,malt o meal,cocoa krispies,honey smacks,franken berry,count chocula,boo berry,raisin bran crunch,cracklin oat bran,peanut butter crunch,honey comb,alphabits,waffle crisp,smorz,french toast crunch,basic 4,total cereal,fiber one,oatmeal raisin crisp,cereal bars,instant oatmeal,steel cut oats,cream of wheat,grits,granola,cheerios cereal,frosted flakes cereal,cinnamon toast crunch cereal,honey nut cheerios cereal,lucky charms cereal,froot loops cereal,frosted mini wheats cereal,capn crunch cereal,rice krispies cereal,cocoa puffs cereal,kashi cereal,bear naked granola,nature valley cereal,magic spoon,catalina crunch,crispy rice,puffins cereal,gorilla munch,heritage flakes,barbara cereal,weetabix,muesli,granola bars,oat bran,wheat bran,honey nut chex,chocolate chex,cinnamon chex,apple cinnamon cheerios,very berry cheerios,chocolate frosted flakes,marshmallow mateys,tootie frooties,cocoa roos,fruity dino bites,dog,cat,bear,deer,eagle,wolf,coyote,fox,bison,moose,alligator,snake,turtle,owl,hawk,falcon,shark,dolphin,whale,seal,otter,beaver,raccoon,possum,armadillo,skunk,badger,panther,mountain lion,bobcat,elk,antelope,porcupine,manatee,pelican,flamingo,black bear,grizzly bear,polar bear,white tailed deer,mule deer,gray wolf,red fox,cougar,jaguar,crocodile,rattlesnake,copperhead,garter snake,bald eagle,golden eagle,red tailed hawk,great horned owl,barn owl,raven,crow,blue jay,cardinal,hummingbird,woodpecker,turkey,pheasant,quail,sea turtle,sea lion,walrus,sea otter,river otter,muskrat,nutria,humpback whale,orca,blue whale,great white shark,hammerhead shark,bull shark,stingray,manta ray,octopus,giant squid,jellyfish,lion,tiger,leopard,cheetah,snow leopard,giraffe,zebra,hippopotamus,rhinoceros,elephant,gorilla,chimpanzee,orangutan,lemur,koala,kangaroo,sloth,panda,red panda,capybara,meerkat,hyena,komodo dragon,axolotl,rabbit,guinea pig,hamster,ferret,chinchilla,hedgehog,bearded dragon,gecko,iguana,chameleon,ball python,corn snake,goldfish,betta fish,parakeet,cockatiel,macaw,groundhog,prairie dog,chipmunk,flying squirrel,bat,wolverine,caribou,muskox,bighorn sheep,mountain goat,snowy owl,osprey,peregrine falcon,kingfisher,heron,egret,cormorant,puffin,loon,albatross,tiger shark,nurse shark,whale shark,barracuda,moray eel,caiman,cottonmouth snake,coral snake,gila monster,snapping turtle,camping,hiking,fishing,hunting,kayaking,canoeing,rock climbing,mountain biking,boating,jet ski,paddleboarding,fly fishing,bird watching,rv travel,offroading,atv riding,tent camping,rv camping,backpacking,geocaching,target shooting,bass fishing,trout fishing,deep sea fishing,crabbing,ice fishing,stargazing,gardening,houseplants,bouldering,canyoning,caving,mountaineering,trail running,disc golf,pickleball court,cornhole,horseshoe pitching,skeet shooting,spearfishing,clamming,lobster trapping,foraging,mushroom hunting,metal detecting,bushcraft,overlanding,dirt biking,snowmobiling,hydrofoiling,windsurfing,kitesurfing,wakeboarding,water skiing,woodworking,knitting,crochet,pottery,baking,grilling,tailgating,painting,drawing,calligraphy,origami,sewing,leatherworking,candle making,soap making,scrapbooking,journaling,digital art,sculpting,embroidery,quilting,stained glass,jewelry making,resin art,cross stitch,wood carving,latch hook,flower arranging,video games,board games,chess,3d printing,pc building,drone flying,astrophotography,retro gaming,vr gaming,tabletop rpg,dungeons and dragons,warhammer,magic the gathering,cosplay,sim racing,ham radio,coding,thrifting,vinyl records,coin collecting,stamp collecting,sneakerhead,vintage clothing,bonsai,aquascaping,terrarium,card collecting,action figures,antiquing,fossil hunting,rockhounding,comic books,playing guitar,piano,ukulele,singing,djing,magic tricks,homebrewing,winemaking,sourdough baking,fermentation,canning,roasting coffee,mixology,barbecue smoking,yoga,pilates,meditation
Alabama,FALSE,FALSE,TRUE,TRUE,Friendly & Conventional,Moderate/Low,200,62.8,45,38,NULL,Solid Red,3.5,5108468,38.5,69021,11.5,34.3,15.2,13.6,26.8,20,59,14,5,2,65*,21,4,8,2,3,3,48,31,15,36,37,15,3,9,69,11,-1,6,3,4,28,40,5,23,10,2,27,57,4,15,11,57,12,TBD,16,0,33,33,18,70,7,15,5,3,8,20,36,30,6,16 points,59,22,1,2,5,6,26,41,22,53,24,0,18,5,44,15,NULL,2,33,8,15,29,37,11,12,30,34,18,6,28,26,8,20,<18,4,4,9,10,73,32,6,30,30,2,21,73,3,1,2,-1,45,3,16,11,33,15,9,37,6,9,12,27,13,39,7,8,TBD,54,16,8,3,72,16,1,1,79,8,6,6,20,9,42,14,15.00,29,10,14,22,25,11,28,18,9,34,29,17,6,43,5,NULL,20,7,42,1,17,5,56,19,3,8,3,32,4,53,0,29,<10,23,38,19,4,10,21,46,26,15,28,31,0,43,10,20,9,+18,21,7,3,58,11,17,13,25,25,20,30,43,0,18,9,TBD,4,67,3,5,67,11,0,22,0,22,13,18,0,47,86,0,8.00,0,6,42,3,49,0,6,3,4,3,58,32,46,11,19,11,—,20,0,0,64,16,14,4,0,40,42,97,1,0,2,0,<17,9,61,7,6,0,74,26,0,0,0,0,0,0,0,50,25,+10,9,6,21,5,70,2,2,9,52,19,10,10,6,42,11,10,N/A,21,34,22,14,9,9,14,41,4,32,37,10,5,10,38,39.00,35,9,16,1,4,4,11,32,49,34,35,17,3,11,9,2,—,3,84,35,4,24,31,6,88,1,8,2,1,42,12,11,13,22-23,7,43,20,21,9,4,32,4,57,3,6,25,45,15,9,+5,30,57,5,3,55,36,3,3,3,5,10,8,74,3,37,4,N/A,6,40,73,6,13,5,3,28,17,26,9,20,17,7,45,21,10*,7,10,60,5,18,1,72,25,2,0,2,9,4,78,7,—,48,8,5,9,23,21,16,5,35,49,5,20,13,13,0,0,21-22,15,64,93,4,0,2,1,35,43,0,20,2,18,2,15,33,32 points,20,4,7,57,12,20,2,8,5,65,50,15,1,12,22,N/A,39,9,24,0,40,16,0,0,44,4,28,37,28,3,42,0,13*,13,32,0,4,5,44,47,25,2,0,29,44,12,11,74,0,-1,8,5,31,28,28,72,12,12,3,1,23,4,2,0,71,13-14,73,12,1,1,10,31,11,4,44,42,10,38,4,6,91,2,7 points,0,0,0,19,47,1,33,4,78,11,3,4,1,1,54,4,NULL,13,28,2,7,50,33,59,3,5,0,59,27,14
alabama,false,false,TRUE,FALSE,Conventional & Duty-Bound,moderate/low,26.6,125,83.9,38,8,Swing State,8,733406,69021,38.5,34.3,"11.5  ",15.2,13.6,26.8,21,35,13,12,19,55,19,5,12,9,11,8,35,unknown,18,28,41,13,10,8,31,16,22,27,4,4,11,58,2,25,"7,0",2,18,65,8,10,17,41,22,10,18,5,29,34,14,69,141,17,6,1,20,23,35,16,6,40,47,10,1,2,3,7,20,about 44,26,57,17,1,14,11,41,24,4,11,20,6,12,13,33,36,15%,32,12,20,21,25,40,5,20,10,33,9,21,15,22,23,unknown,34,32,4,22,64,1,2,11,46,20,2,24,8,10,32,3,"39,0",16,8,9,34,12,37,10,5,20,56,9,14,3,76,6,1,02,68,8,8,14,11,16,34,14,25,39,12,23,23,3,17,about 28,14,13,28,39,8,1,52,0,73,5,16,5,1,9,58,5,7%,21,4,8,23,4,61,0,15,21,25,39,16,5,7,19,53,?,15,26,36,0,44,9,14,8,25,0,0,0,79,21,25,"17,0",22,28,8,32,44,0,24,0,23,6,61,0,10,80,20,0,00,0,0,0,0,0,0,62,18,1,0,19,45,0,48,0,7,,10,9,25,53,55,0,0,0,45,0,0,0,0,0,0,0%,0,69,31,100,0,0,0,0,11,21,52,9,7,0,0,0,?,0,0,0,0,0,0,35,22,17,3,23,16,3,50,3,28,3 (est.),59,17,12,9,5,31,5,27,32,38,41,12,5,4,8,031,25,4,32,39,8,26,5,22,21,30,20,29,0,8,4,21,,36,41,13,8,2,36,8,0,1,1,90,52,5,18,18,7,8.60e+1,2,6,1,5,40,34,11,11,4,17,65,10,6,2,2,?,6,67,4,9,34,36,14,7,14,30,47,5,4,51,40,4,3 (est.),2,6,8,9,74,3,29,3,14,6,48,69,7,14,6,4,"27  ",17,28,6,22,19,8,37,23,13,10,16,50,6,18,2,,24,40,3,4,23,8,59,6,21,20,4,5,50,47,21,8,2.00e+0,22,66,8,17,0,9,0,0,18,14,68,87,7,0,4,2,441,22,1,58,2,20,2,6,34,38,48,3,4,9,36,4,5 (est.),46,6,39,17,14,0,4,65,37,40,5,18,0,15,24,15,"0  ",46,0,11,43,36,10,82,0,0,18,0,0,5,20,49,26,unknown,1,0,27,43,8,17,72,1,2,10,10,26,29,25,52,2.20e+1,20,5,1,23,9,1,0,67,13,70,14,2,1,13,23,9,61,49,49,14,29,3,5,89,3,7,1,0,0,20,49,0,31,about 8,66,0,8,18,2,1,60,10,27,10,20,0,0,70,21,"69  ",8,2,0,69,19,12
"ALABAMA ",TRUE,"False ",FALSE,false,conventional & duty-bound," Moderate/Low ",60.3,299,—,38,3,Swing State,3.5,7431344,69021,38.5,34.3,11.5,15.2,13.6,26.8,26,40,16,12,6-7,67,18,6,7,2,5,4,34,39,18,29,40,18,5,8,36,22 points,21,13,8,4,14,58,2,22,8,2,22,63,5,13,13,N/A,12,5,18,1,32,31,18,68,11,16,4,1,14,28,38,13,7*,30,52,13,2,3,6,4,43,31,16,50,22,1,18,9,56,-1,6,6,10,11,18,21,30,20,14,29,17,23,17,41,33,6-7,13,7,8,6,16,15,55,40,7,24,27,2,16,65,1,1,17 points,44,23,2,25,6,16,31,4,39,10,7,10,23,11,49,13,NULL,18,60,5,8,3,74,14,1,1,77,8,7,7,15,10,44*,12,19,31,10,19,22,18,14,33,15,9,29,17,24,5,51,-1,36,7,39,18,0,32,7,3,6,52,11,0,2,1,86,0,TBD,11,21,36,18,7,13,18,44,33,27,18,22,0,41,11,17 points,9,22,18,7,3,60,12,20,13,29,24,14,25,42,0,24,NULL,30,4,55,3,8,65,19,4,12,0,24,17,10,9,40,85,<0,8,0,7,42,3,50,0,5,5,9,8,21,57,47,12,-1,10,16,16,11,0,59,14,15,3,2,46,34,98,1,0,1,TBD,15,13,54,9,9,18,46,22,14,0,0,0,0,0,0,51,27.00,12,5,5,23,7,66,2,2,4,55,14,12,15,9,45,NULL,11,29,23,43,19,5,10,12,21,35,9,23,42,38,3,3,<14,37,40,8,15,0,7,3,7,29,54,39,40,7,2,12,10,+2,3,3,82,33,3,30,29,5,84,1,12,2,1,46,20,TBD,10,13,6,53,18,16,7,3,29,5,60,3,5,33,39,14,9.00,7,29,57,4,3,56,35,3,3,3,4,7,7,80,2,38,—,11,7,40,62,8,22,5,3,27,15,31,7,20,16,7,<42,24,11,15,17,38,12,18,0,67,30,3,0,8,7,4,74,+7,23,45,10,7,15,27,23,14,4,32,47,7,25,2,19,1,N/A,36,25,38,84,5,0,7,4,21,45,3,26,5,17,6,5.00,28,44,42,4,12,25,17,5,1,8,18,68,28,45,2,5,—,38,26,16,20,0,21,16,3,0,60,3,18,28,44,7,26,0-1,19,23,32,0,4,7,42,47,23,2,0,29,46,10,15,+72,0,3,7,8,23,30,32,59,14,19,6,2,14,4,1,0,N/A,14,71,13,1,1,15,30,11,3,41,44,12,36,4,4,90,3*,7,0,0,0,20,48,0,32,5,72,3,3,17,2,1,—,6,31,17,23,3,6,51,43,43,7,7,0,61,27,12
Alabma,"False ",NO,false,TRUE," Conventional & Duty-Bound ",Moderate - Low,60.4,200,45,51.6,0,solid red,3.5,3067732,69021,38.5,3.43e+1,11.5,15.2,13.6,26.8,32,43,17,6,2,62,21,5,10,2,3,3,921,31,14,35,40,12,2,11,49,24,17,7,3,3,18,49,4 (est.),26,8,2,29,57,4,10,8,64,14,4,19,0,32,34,15,"71  ",9,11,7,2,12,27,39,14,8,23,52,22,1,2,4,5,unknown,44,19,53,26,0,15,6,51,18,6,2,23,7,14,27,3.30e+1,19,10,32,33,15,10,42,27,8,17,6,9,5,13,15,58,401,9,30,33,2,22,65,9,1,3,27,40,3,17,13,21,24,about 8,39,8,9,11,27,14,39,8,5,15,57,15,10,3,72,"13  ",2,2,68,14,7,9,20,10,37,16,17,29,11,18,24,18,unknown,21,20,9,38,33,20,2,42,3,39,11,7,40,3,16,15,"40,0",11,18,10,7,18,12,53,0,32,13,27,28,10,4,8,341,62,29,13,29,29,0,42,12,18,8,20,16,9,4,58,13,about 19,16,29,21,15,29,46,0,16,9,26,4,61,3,6,53,29,5%,13,0,29,18,0,0,53,91,0,0,0,9,42,2,50,unknown,6,4,7,5,38,46,49,18,20,0,13,0,0,0,100,0,"15,0",0,0,40,45,100,0,0,0,0,15,10,61,7,7,0,100,00,0,0,0,0,0,0,0,47,26,10,11,6,26,5,64,about 2,3,7,58,17,10,8,8,41,8,9,34,21,49,14,10,6,12%,13,34,7,34,56,11,5,6,22,32,37,11,18,2,8,3,?,33,42,32,23,23,4,18,7,2,2,4,85,36,4,27,"26,0",7,88,2,8,1,1,39,12,11,16,22,7,46,21,19,7,04,32,5,56,3,4,31,37,17,11,5,28,60,4,3,58,33,,3,3,6,8,9,74,3,34,5,13,7,41,71,6,15,5%,3,30,18,24,8,20,21,7,38,23,11,9,11,54,8,18,?,70,26,3,0,4,11,5,72,8,21,49,10,7,13,26,24,13 (est.),4,33,43,5,21,17,14,0,0,26,15,59,93,2,0,03,2,32,33,0,32,3,17,3,9,36,35,19,3,5,47,26,,1,12,7,70,50,19,0,10,21,24,37,9,30,0,26,17,0.00e+0,0,57,6,26,33,35,0,32,0,15,0,53,0,4,7,?,39,24,1,0,31,44,9,12,76,0,3,10,7,29,30,24,63 (est.),15,17,4,1,24,5,2,0,69,13,74,11,1,1,7,28,"11  ",5,49,44,12,35,3,6,90,4,6,0,0,1,17,52,,30,3,78,8,3,8,2,1,57,5,35,15,29,4,0,52,2.80e+1,66,2,4,0,63,25,12
California,TRUE,TRUE,TRUE,"False ",Relaxed & Creative,High,59.4,+265,38.5,32.9,9,Solid Blue,3.2,38965193,69021,38.5,34.3,11.5,15.2,13.6,26.8,19,38,17,N/A,5,56,27,6,9,2,5,9,28,42,16,32,37,18,4,9.00,31,20,21,22,6,7,9,58,3,23,8,2,18,67,5,15,—,54,7,8,10,0,20,32,38,63,12,19,5,1,18,30,30,16-17,6,33,52,10,2,3,2,9,39,34,16,50,17,1,18,+14,48,15,7,15,15,16,22,21,31,10,12,27,29,17,15,46,N/A,5,10,11,11,9,22,16,42,38,9,24,26,3,18,77,1,1*,3,43,22,4,26,5,13,32,5,34,16,8,8,29,13,—,14,3,19,58,6,9,6,73,10,2,2,69,10,11,8,19,11-12,40,10,20,34,9,18,23,16,12,31,20,14,23,18,21,2,57 points,2,35,6,58,1,0,2,12,1,1,84,26,0,3,0,N/A,0,19,9,23,49,13,6,7,23,51,25,26,19,30,0,46,9*,15,8,22,18,6,3,57,16,22,11,25,28,14,30,43,0,-1,5,42,4,45,3,6,73,12,5,9,1,26,14,11,4,45-46,81,0,10,1,8,46,2,49,0,3,4,9,6,18,63,45,12 points,17,10,16,19,10,4,53,14,15,2,1,44,38,96,1,0,NULL,0,13,16,54,9,8,10,46,22,19,3,76,24,0,0,0*,48,29,15,2,6,27,8,60,2,3,5,58,15,11,11,7,-1,7,14,31,32,28,22,11,7,18,17,38,10,17,68,16,2,TBD,12,38,37,9,16,0,3,2,10,26,59,49,25,6,2,18 points,12,2,3,4,79,42,6,23,24,5,88,1,7,2,2,40,NULL,8,6,11,7,51,21,15,6,2,28,5,62,3,5,32,40,<15,8,7,29,57,4,3,57,35,3,3,2,6,7,6,79,-1,42,5,11,6,36,64,7,21,5,3,30,14,24,9,23,12,TBD,42,24,17,18,16,41,7,18,0,66,31,3,0,3,5,3,82.00,7,15,51,12,8,14,31,22,14,3,30,64,6,22,1,NULL,0,0,38,23,39,77,7,0,11,5,26,40,2,27,5,16,<4,4,40,36,52,3,6,23,16,5,4,9,11,71,37,27,2,+5,29,47,24,13,16,0,10,24,6,0,60,5,20,26,42,TBD,20,0,29,25,26,0,4,10,37,49,22,1,0,28,49,12,19.00,66,0,3,5,6,26,34,29,63,11,18,6,2,12,4,1,—,83,15,70,14,1,0,11,32,11,4,42,39,12,42,4,<3,93,2,5,0,0,0,18,58,0,24,5,82,2,4,7,1,+1,64,7,27,21,22,3,13,41,57,31,8,4,0,60,28,12
" Alabama",TRUE,TRUE,"False ",NO,Relaxed & Creative,High,45.1,245,45,47.2,4,Solid Blue,9.1,5877610,69021,38.5 (est.),34.3,11.5,15.2,13.6,26.8,20,42,13,14,11,65,17,5,7,6,010,6,40,29,15,26,43,11,11,9,42,22,15,14,7,6,10,,3,29,9,1,20,64,6,32,15,37,11,5,20,6,28,26,2.00e+1,62,13,19,5,1,16,30,37,11,6,35,44,16,2,3,?,6,47,31,12,55,20,1,15,9,53,25,4,5,13,12,15,21 (est.),34,18,17,28,16,22,17,37,36,5,13,9,11,8,15,15,"51  ",32,6,31,28,3,19,73,2,2,4,44,23,2,24,7,,33,3,37,12,9,11,28,12,40,12,4,19,59,6,11,3,7.50e+1,9,2,2,65,20,6,7,12,11,44,12,21,34,10,16,22,321,20,27,15,12,26,18,27,4,48,3,40,13,36,10,1,53 (est.),15,3,6,23,12,1,3,1,83,0,19,17,30,34,17,7,"14  ",20,42,33,17,22,28,0,44,10,16,9,21,18,8,4,60,unknown,18,13,27,23,19,24,44,0,24,8,27,4,58,3,8,6.40e+1,20,4,12,0,27,11,11,10,41,86,0,7,0,7,40,4,611,0,5,4,9,5,22,60,52,11,13,11,13,18,16,0,66,about 0,14,5,0,45,36,98,0,0,2,0,10,18,53,11,8,"0  ",53,47,0,0,0,0,0,0,0,49,26,13,4,8,29,5,unknown,4,5,4,52,13,14,17,18,39,5,11,27,16,59,16,3,"6,0",11,19,26,18,26,70,10,3,3,14,30,42,11,17,0,321,3,11,28,45,40,29,10,5,16,14,3,3,3,77,41,5,about 19,30,5,87,3,7,2,1,43,18,10,16,13,7,53,17,16,7%,2,25,6,64,3,5,36,39,13,7,8,33,53,4,2,unknown,32,3,3,3,6,10,9,72,3,33,4,11,6,46,68,7,"17,0",5,3,25,17,29,7,22,15,6,44,25,10,10,13,40,20,017,1,62,28,9,0,11,10,3,71,5,17,52,9,7,15,about 31,21,13,5,30,52,8,26,3,11,0,0,36,22,42,79,4,0%,9,8,14,12,3,68,3,14,5,3,36,42,58,3,4,14,?,4,1,24,11,60,26,29,2,4,39,40,38,7,15,0,"20,0",18,2,0,60,4,14,25,43,14,65,0,13,9,13,0,5,011,44,40,25,2,0,33,40,9,16,71,1,3,7,8,25,30,,60,13,21,5,1,18,5,2,0,75,16,68,14,1,1,15%,27,10,4,44,45,15,32,4,4,90,3,7,0,0,0,15,?,0,31,5,66,4,5,20,1,1,63,7,28,18,21,4,5,52 (est.),41,49,4,6,0,65,22,13
Ala.,NO,0,TRUE,0,Friendly & Conventional,Moedrate/Low,49.00,200,45,24,0,Solid Blue,3.5,3617176,69021,38.5,34.3,11.5,15.2,13.6,26.8,31,NULL,14,14,12,61,23,4,9,3,5,4,40,36,15,29,37,18,<7,9,28,25,26,14,7,6,18,51,5,20,7,1,23,65,4,+53,12,25,3,7,13,2,28,31,26,78,5,12,4,1,10,TBD,31,17,5,27,50,16,2,5,1,8,53,25,13,52,31,0,13.00,4,43,24,6,15,12,49,13,12,21,5,23,22,11,23,21,—,24,9,20,19,8,8,15,13,56,37,3,24,32,4,19,<78,0,1,2,42,20,2,31,5,13,32,6,31,18,6,16,25,+10,43,12,5,21,57,5,7,3,67,22,1,3,66,13,12,6,N/A,12,38,10,28,39,12,20,16,13,21,37,25,9,8,20,19.00,16,40,5,18,65,13,4,0,10,57,6,12,15,11,14,47,—,25,0,30,11,22,37,28,6,13,20,33,21,12,29,38,0,46-47,10,16,9,19,17,7,3,62,11,20,16,23,26,15,23,+46,0,22,9,24,5,59,3,9,89,4,0,7,0,31,10,13,N/A,37,74,0,8,5,13,40,2,52,0,6,4,7,4,17,68,48*,11,20,8,13,14,0,0,68,18,16,5,0,41,38,94,—,1,2,0,12,14,57,10,7,33,67,0,0,0,0,0,0,0-1,0,51,28,11,3,7,28,5,62,1,4,4,55,16,14,11,6 points,44,8,15,27,25,39,22,9,5,16,13,32,5,34,31,N/A,10,13,32,36,35,9,19,1,1,2,25,24,48,48,15,14,4*,19,6,3,3,3,85,34,7,31,20,8,91,3,3,2,1,-1,15,9,14,10,9,43,19,21,8,3,21,4,69,3,5,31-32,44,12,8,7,29,56,4,4,58,34,3,3,2,8,10,10,68 points,4,35,5,13,6,41,67,7,18,5,3,31,15,24,9,21,NULL,4,55,19,13,8,8,60,5,19,1,69,26,4,0,2,6*,7,78,7,14,51,11,7,17,46,16,11,3,24,64,8,19,-1,7,0,0,26,24,50,81,6,0,9,4,38,30,1,27,4,TBD,3,9,43,27,27,5,8,36,24,3,3,18,6,70,47,19 points,2,6,26,33,31,11,25,0,18,11,21,0,50,4,28,38,NULL,8,53,0,18,13,16,0,4,11,35,50,28,1,0,34,37,<12,15,68,0,5,8,7,26,29,30,60,12,20,6,2,15,-1,2,1,77,16,73,10,1,0,11,30,10,3,46,41,12,38,TBD,5,89,4,7,0,0,0,20,53,0,27,6,80,5,4,5,1.00,1,62,5,31,20,24,3,8,45,40,46,4,10,0,61,NULL,13
Delaware,0,FALSE,TRUE,FALSE,Conventional and Duty-Bound,Moderate/Low,55.3,200,45,38,0,Swing State,3.5,about 1031890,69021,38.5,34.3,11.5,15.2,13.6,26.8,22,41,17,13,7,63,22,5,8,2%,4,9,44,32,11,26,43,18,6,7,37,18,25,14,6,4,?,42,4,22,10,2,24,59,5,51,8,31,5,5,15,0,"32,0",35,18,79,6,10,4,1,9,26,33,26,6,17,56,21,2,04,2,7,46,30,15,52,25,0,18,5,46,24,6,8,16,23,,20,36,9,48,22,6,16,8,23,25,10,23,19,5,10,9%,9,67,35,4,25,33,3,16,54,0,29,1,36,23,6,30,?,23,29,9,28,11,7,14,23,12,44,11,7,18,54,10,8,3 (est.),66,21,2,2,70,9,11,8,15,12,42,12,19,34,10,017,16,23,16,29,29,11,15,12,26,15,42,5,38,49,10,3,,9,47,16,15,13,0,3,95,0,2,0,19,10,25,46,21,7.00e+0,13,19,40,22,12,30,36,0,42,10,21,10,17,19,0,?,66,15,19,14,24,28,15,21,39,0,21,19,23,7,64,0,6 (est.),100,0,0,0,0,31,0,30,0,39,71,0,29,0,0,41,"3  ",51,0,5,5,8,6,31,50,65,0,35,0,0,0,0,,100,0,17,0,0,39,44,100,0,0,0,0,12,14,57,10,7.00e+0,0,100,0,0,0,0,0,0,0,0,41,25,23,5,6,25,91,67,2,3,5,59,20,8,8,6,48,8,10,28,21,36,21 (est.),16,6,14,19,40,5,22,48,9,6,10,27,46,23,7,23,"1  ",2,3,17,29,49,46,12,13,5,24,9,1,2,4,84,34,unknown,27,27,7,91,1,5,2,1,35,15,10,29,11,7,46,1.70e+1,21,9,3,42,3,50,2,9,57,21,7,6,6,30,57,4,221,56,35,4,3,2,9,10,10,67,4,34,5,13,6,42,66,about 8,18,5,3,31,18,22,9,20,10,5,58,17,10,9,11,"63  ",5,12,1,69,27,3,0,1,4,6,81,8,11,58,13,7,unknown,32,21,15,3,29,57,6,25,3,9,0,0,26,16,58,90,"4,0",0,4,2,32,40,1,22,5,22,2,8,39,29,25,6,151,38,16,4,23,8,5,60,57,16,0,0,27,30,32,8,30,about 0,24,16,11,0,49,0,37,41,22,0,0,0,32,30,38,0,3%,8,46,43,27,2,0,30,41,11,15,68,0,6,8,5,unknown,32,34,56,14,22,5,3,20,4,3,0,73,14,73,10,2,"1,0",9,33,14,0,44,42,13,36,4,5,89,4,7,0,0,0,017,55,0,28,3,87,7,3,0,2,1,57,5,35,26,24,about 0,0,50,40,49,5,6,0,63,24,13
